date,region,anom_c
1910-01,Global,-0.66076756
1910-02,Global,-0.6257887
1910-03,Global,-0.53337383
1910-04,Global,-0.44362736
1910-05,Global,-0.63797855
1910-06,Global,-0.47801018
1910-07,Global,-0.4301548
1910-08,Global,-0.38986015
1910-09,Global,-0.37128544
1910-10,Global,-0.3731699
1910-11,Global,-0.48273182
1910-12,Global,-0.5959778
1911-01,Global,-0.31872654
1911-02,Global,-0.39425182
1911-03,Global,-0.580493
1911-04,Global,-0.50057316
1911-05,Global,-0.515481
1911-06,Global,-0.3971386
1911-07,Global,-0.4778843
1911-08,Global,-0.43929863
1911-09,Global,-0.36066532
1911-10,Global,-0.46579075
1911-11,Global,-0.55884266
1911-12,Global,-0.5683594
1912-01,Global,-0.7234812
1912-02,Global,-0.74257946
1912-03,Global,-0.8265257
1912-04,Global,-0.60747623
1912-05,Global,-0.5501795
1912-06,Global,-0.6030712
1912-07,Global,-0.61927223
1912-08,Global,-0.60095024
1912-09,Global,-0.70469
1912-10,Global,-0.7229624
1912-11,Global,-0.9306078
1912-12,Global,-0.8436279
1913-01,Global,-0.7542124
1913-02,Global,-0.8721571
1913-03,Global,-0.9240904
1913-04,Global,-0.69152164
1913-05,Global,-0.66126347
1913-06,Global,-0.59010124
1913-07,Global,-0.67569923
1913-08,Global,-0.76309013
1913-09,Global,-0.758584
1913-10,Global,-0.66662693
1913-11,Global,-0.5917711
1913-12,Global,-0.79504395
1914-01,Global,-0.69235325
1914-02,Global,-0.82378674
1914-03,Global,-0.5649595
1914-04,Global,-0.6352167
1914-05,Global,-0.5954981
1914-06,Global,-0.63389397
1914-07,Global,-0.59531593
1914-08,Global,-0.6764507
1914-09,Global,-0.6323633
1914-10,Global,-0.73266697
1914-11,Global,-0.73386097
1914-12,Global,-0.81851196
1915-01,Global,-1.0251474
1915-02,Global,-1.0280409
1915-03,Global,-1.0316648
1915-04,Global,-0.6809015
1915-05,Global,-0.6406946
1915-06,Global,-0.6975231
1915-07,Global,-0.7523594
1915-08,Global,-0.7487774
1915-09,Global,-0.5292444
1915-10,Global,-0.65014744
1915-11,Global,-0.838933
1915-12,Global,-0.8630676
1916-01,Global,-0.7849436
1916-02,Global,-0.89498425
1916-03,Global,-0.73671246
1916-04,Global,-0.630456
1916-05,Global,-0.6085596
1916-06,Global,-0.6419201
1916-07,Global,-0.8105869
1916-08,Global,-0.623991
1916-09,Global,-0.59995365
1916-10,Global,-0.6405039
1916-11,Global,-0.85571766
1916-12,Global,-0.5985718
1917-01,Global,-0.8372202
1917-02,Global,-1.0391493
1917-03,Global,-0.6641722
1917-04,Global,-0.7177973
1917-05,Global,-0.38895512
1917-06,Global,-0.4170971
1917-07,Global,-0.54792213
1917-08,Global,-0.59502983
1917-09,Global,-0.43293095
1917-10,Global,-0.4495859
1917-11,Global,-0.698308
1917-12,Global,-0.76797485
1918-01,Global,-0.51525974
1918-02,Global,-0.74550915
1918-03,Global,-0.7534361
1918-04,Global,-0.48915958
1918-05,Global,-0.38071537
1918-06,Global,-0.35175896
1918-07,Global,-0.40259743
1918-08,Global,-0.611845
1918-09,Global,-0.45719242
1918-10,Global,-0.44387913
1918-11,Global,-0.5752001
1918-12,Global,-0.53933716
1919-01,Global,-0.46307468
1919-02,Global,-0.3427992
1919-03,Global,-0.33110332
1919-04,Global,-0.26961613
1919-05,Global,-0.39728642
1919-06,Global,-0.4259777
1919-07,Global,-0.57642555
1919-08,Global,-0.53429985
1919-09,Global,-0.5831995
1919-10,Global,-0.62762547
1919-11,Global,-0.6123705
1919-12,Global,-0.5682678
1920-01,Global,-0.68560886
1920-02,Global,-0.59704113
1920-03,Global,-0.66798687
1920-04,Global,-0.6021967
1920-05,Global,-0.48783207
1920-06,Global,-0.47694206
1920-07,Global,-0.46439552
1920-08,Global,-0.58828545
1920-09,Global,-0.36518192
1920-10,Global,-0.43539524
1920-11,Global,-0.6412401
1920-12,Global,-0.5602417
1921-01,Global,-0.53625584
1921-02,Global,-0.6561537
1921-03,Global,-0.6044493
1921-04,Global,-0.675622
1921-05,Global,-0.608346
1921-06,Global,-0.47166252
1921-07,Global,-0.44083595
1921-08,Global,-0.36330986
1921-09,Global,-0.45032597
1921-10,Global,-0.33850193
1921-11,Global,-0.41925526
1921-12,Global,-0.40396118
1922-01,Global,-0.38662815
1922-02,Global,-0.41897106
1922-03,Global,-0.6018553
1922-04,Global,-0.5341425
1922-05,Global,-0.37003422
1922-06,Global,-0.49287224
1922-07,Global,-0.5056248
1922-08,Global,-0.55026054
1922-09,Global,-0.4449854
1922-10,Global,-0.5401926
1922-11,Global,-0.7412462
1922-12,Global,-0.47036743
1923-01,Global,-0.5325937
1923-02,Global,-0.56948376
1923-03,Global,-0.574481
1923-04,Global,-0.42089176
1923-05,Global,-0.3658228
1923-06,Global,-0.43662834
1923-07,Global,-0.49268532
1923-08,Global,-0.305418
1923-09,Global,-0.26361942
1923-10,Global,-0.4367075
1923-11,Global,-0.38110828
1923-12,Global,-0.48324585
1924-01,Global,-0.47921848
1924-02,Global,-0.38625622
1924-03,Global,-0.27977276
1924-04,Global,-0.39226627
1924-05,Global,-0.4751978
1924-06,Global,-0.42689323
1924-07,Global,-0.59641457
1924-08,Global,-0.426939
1924-09,Global,-0.4670496
1924-10,Global,-0.37692356
1924-11,Global,-0.40448475
1924-12,Global,-0.43743896
1925-01,Global,-0.28262424
1925-02,Global,-0.2955885
1925-03,Global,-0.42848492
1925-04,Global,-0.12810612
1925-05,Global,-0.40061283
1925-06,Global,-0.36405754
1925-07,Global,-0.29084206
1925-08,Global,-0.31869316
1925-09,Global,-0.29538822
1925-10,Global,-0.42990208
1925-11,Global,-0.44046497
1925-12,Global,-0.5774536
1926-01,Global,-0.46527195
1926-02,Global,-0.5384779
1926-03,Global,-0.5264158
1926-04,Global,-0.4671259
1926-05,Global,-0.40631962
1926-06,Global,-0.3282299
1926-07,Global,-0.47117043
1926-08,Global,-0.40319633
1926-09,Global,-0.49042606
1926-10,Global,-0.5101023
1926-11,Global,-0.5678148
1926-12,Global,-0.68933105
1927-01,Global,-0.5542002
1927-02,Global,-0.74395275
1927-03,Global,-0.56553936
1927-04,Global,-0.50920963
1927-05,Global,-0.5318079
1927-06,Global,-0.40492058
1927-07,Global,-0.3334446
1927-08,Global,-0.3826275
1927-09,Global,-0.46711063
1927-10,Global,-0.27014256
